"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
2,-0.3564,0,1,-1,3889,0.3188,1,-1,1,2,0,1,0,1,2,0
2,-1.1067,0,1,1,15713.6667,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.6595,0,-1,1,58003.625,0.2694,1,-1,1,0,1,1,0,0,0,1
2,-1.0552,1,1,1,155421.7857,NA,0,-1,NA,2,1,0,2,0,0,0
2,0.9688,0,1,1,7161.5,NA,0,1,NA,1,0,0,1,0,0,0
2,-0.7017,0,1,1,4589,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.7494,1,1,-1,8320.5294,0.3604,1,-1,1,1,0,0,1,0,0,0
2,-0.9045,0,1,-1,1794.7143,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.1728,0,1,-1,559.5625,NA,0,-1,NA,0,0,0,0,0,0,0
2,-1.1133,1,1,1,418822.8529,0.3703,1,-1,1,0,1,1,0,0,0,0
2,1.9251,0,1,-1,26655.5,1.4576,1,1,1,3,0,0,0,0,3,0
2,1.3321,0,1,-1,10953,1.7941,1,1,1,0,1,0,0,0,0,0
2,-1.2569,0,-1,-1,533.3333,NA,0,-1,NA,3,0,1,1,1,2,0
2,-0.2085,1,1,1,21594.6,-0.0967,1,-1,-1,2,1,0,2,0,0,0
2,0.8328,0,-1,-1,6291.4545,NA,0,1,NA,1,3,0,1,0,0,0
2,-0.4003,1,1,-1,16280.25,0.2629,1,-1,1,0,0,0,0,0,0,0
2,-0.1548,0,1,-1,7040.1333,0.2892,1,-1,1,0,1,2,0,1,0,0
2,-0.8338,0,-1,-1,2871.8333,NA,0,-1,NA,2,0,1,0,1,0,0
2,-0.7878,1,1,1,1199822.5161,NA,0,-1,NA,1,0,0,0,0,1,0
2,-0.5707,0,-1,1,1129.28,NA,0,-1,NA,0,2,0,0,0,0,0
2,-0.9905,0,-1,1,1335.9643,NA,0,-1,NA,0,0,1,0,1,0,0
2,-0.1991,0,1,-1,1158,NA,0,-1,NA,0,1,1,0,0,0,1
2,0.4613,0,1,-1,15771,-0.6162,1,1,-1,2,0,1,2,0,0,1
2,-0.397,1,1,-1,138050.0891,-0.3038,1,-1,-1,1,1,0,0,0,1,0
2,1.9344,0,-1,-1,2056,1.9739,1,1,1,0,1,0,0,0,0,0
2,-0.3362,0,1,-1,2414,-0.7839,1,-1,-1,2,0,1,1,0,1,1
2,-0.2759,0,-1,-1,1467.8462,NA,0,-1,NA,0,3,0,0,0,0,0
2,-1.2037,0,-1,-1,161.4062,NA,0,-1,NA,1,2,0,1,0,0,0
2,-1.0294,1,-1,1,17831,-0.42,1,-1,-1,1,1,0,1,0,0,0
2,-0.2424,1,1,1,5326,0.5347,1,-1,1,1,1,0,0,0,1,0
2,-1.0936,1,1,-1,22404.5333,-1.4054,1,-1,-1,0,1,0,0,0,0,0
2,-0.5159,0,1,-1,19173.7,0.4755,1,-1,1,1,3,1,1,0,0,1
2,1.416,0,-1,-1,3799,1.0926,1,1,1,1,2,0,1,0,0,0
2,-0.2764,1,1,1,181014.8462,-0.4989,1,-1,-1,0,0,1,0,1,0,0
2,1.8988,0,-1,-1,660.3158,NA,0,1,NA,1,1,0,0,0,1,0
2,-0.2435,0,-1,-1,105,-1.2574,1,-1,-1,3,0,0,2,0,1,0
2,-0.4814,1,1,1,506698.6154,0.0853,1,-1,1,0,0,0,0,0,0,0
2,1.6538,0,1,-1,1980.5,1.736,1,1,1,0,0,1,0,0,0,1
2,-0.0413,1,-1,-1,41652.25,NA,0,-1,NA,2,0,0,2,0,0,0
2,-0.5652,0,1,-1,4812.5556,NA,0,-1,NA,0,0,0,0,0,0,0
2,-1.1221,0,-1,-1,44,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.4907,0,1,-1,23464.67,-1.4251,1,-1,-1,0,2,0,0,0,0,0
2,-1.264,1,1,-1,206591.3442,-1.3035,1,-1,-1,1,0,0,1,0,0,0
2,-0.8716,0,1,-1,107,NA,0,-1,NA,1,1,0,1,0,0,0
2,-1.0892,0,-1,1,6790.5,NA,0,-1,NA,2,0,0,2,0,0,0
2,-1.0053,0,-1,1,389.5,NA,0,-1,NA,1,0,0,1,0,0,0
2,0.173,0,-1,1,160,NA,0,1,NA,2,0,0,1,0,1,0
2,-0.7762,0,-1,-1,2218.4412,NA,0,-1,NA,2,1,0,1,0,1,0
2,0.1823,1,1,1,217063.5217,0.3527,1,1,1,0,2,0,0,0,0,0
2,-0.5466,0,1,-1,676.3,NA,0,-1,NA,0,2,0,0,0,0,0
2,-1.3232,0,1,-1,8528.5,NA,0,-1,NA,1,0,0,1,0,0,0
2,0.2092,0,1,1,21353.6667,NA,0,1,NA,0,0,0,0,0,0,0
2,-0.9905,0,-1,-1,3018.1538,NA,0,-1,NA,0,0,0,0,0,0,0
2,-1.2547,0,-1,1,21615.9,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.562,0,-1,-1,44.8649,NA,0,-1,NA,1,1,2,1,1,0,1
2,-0.5636,1,1,1,1061568,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.5154,0,1,1,8930,-0.6436,1,-1,-1,0,0,0,0,0,0,0
2,-0.6157,1,1,-1,108183.7429,-0.8321,1,-1,-1,0,0,0,0,0,0,0
2,0.0195,0,1,-1,5677.3333,NA,0,1,NA,0,0,0,0,0,0,0
2,-0.7297,0,1,1,5215.8,NA,0,-1,NA,0,0,0,0,0,0,0
